id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4635800-3,4635800,6428856350,6428856361,40.73102361693863,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0546905 43.5801452, 7.0544303 43.5800434, 7.0542461 43.5799713)"
4635801-0,4635801,550292460,2148331593,88.24723056980365,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0558305 43.5827624, 7.0558472 43.5827287, 7.0558740 43.5826928, 7.0559222 43.5826697, 7.0560725 43.5826350, 7.0561194 43.5826078, 7.0561422 43.5825786, 7.0561400 43.5825380, 7.0561109 43.5823263, 7.0560966 43.5821876, 7.0561033 43.5821643, 7.0561308 43.5821420, 7.0561776 43.5821278)"
4635802-0,4635802,25897534,25897533,36.43972445580981,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0565861 43.5815576, 7.0569134 43.5815469, 7.0570314 43.5815187)"
4635803-0,4635803,25897523,25897506,208.99580876872255,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0571797 43.5809165, 7.0572044 43.5809514, 7.0572527 43.5809786, 7.0573398 43.5810048, 7.0578964 43.5809874, 7.0580077 43.5809971, 7.0585409 43.5811496, 7.0588996 43.5812876, 7.0591114 43.5813439, 7.0593046 43.5813750, 7.0596063 43.5814265)"
4635804-0,4635804,25897520,2012832617,143.94274517276452,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0582099 43.5799066, 7.0582046 43.5798692, 7.0582018 43.5798493, 7.0578295 43.5790958, 7.0577712 43.5790428, 7.0576787 43.5788624, 7.0575928 43.5786989)"
4635805-0,4635805,25897711,1769672955,118.6387100690478,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0566897 43.5760968, 7.0567930 43.5762580, 7.0567990 43.5762674, 7.0571120 43.5767556, 7.0572931 43.5770686)"
4635805-1,4635805,1769672955,25897712,7.490200725972337,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0572931 43.5770686, 7.0573317 43.5771298)"
4635805-2,4635805,25897712,25897919,14.818609749341354,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0573317 43.5771298, 7.0574080 43.5772509)"
4635805-3,4635805,25897919,25897713,25.35667553331937,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0574080 43.5772509, 7.0574462 43.5773114, 7.0575060 43.5773991, 7.0575450 43.5774559)"
4635805-4,4635805,25897713,1961105295,29.401169998387218,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0575450 43.5774559, 7.0576966 43.5776961)"
4635805-5,4635805,1961105295,1961105298,3.023712882877748,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0576966 43.5776961, 7.0577122 43.5777208)"
4635805-6,4635805,1961105298,25897519,130.25231254446797,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0577122 43.5777208, 7.0578202 43.5778918, 7.0580945 43.5783469, 7.0583755 43.5787876)"
4635805-7,4635805,25897519,2289504047,117.99447881264629,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(7.0583755 43.5787876, 7.0584293 43.5788711, 7.0587712 43.5794191, 7.0589328 43.5796870, 7.0589492 43.5797399, 7.0589537 43.5797595)"
4635806-0,4635806,25897321,25897343,12.607557672342768,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0507844 43.5823764, 7.0507357 43.5823528, 7.0507121 43.5823212, 7.0506982 43.5822878)"
4635806-1,4635806,25897343,25897344,24.415013099423028,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0506982 43.5822878, 7.0507001 43.5822196, 7.0507228 43.5821638, 7.0507476 43.5821283, 7.0507996 43.5820908)"
4635807-0,4635807,29146999,1776240918,39.87152629192773,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0552948 43.5792686, 7.0553242 43.5792397, 7.0555880 43.5789802)"
4635807-1,4635807,1776240918,25897898,59.665177777978755,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0555880 43.5789802, 7.0560267 43.5785486)"
4635807-2,4635807,25897898,6302469974,86.52915645254515,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0560267 43.5785486, 7.0560638 43.5785153, 7.0567009 43.5779439)"
